"","binomial","Prey"
"561","Puffinus_puffinus",0
"562","Pyrocephalus_rubinus",0
"563","Quiscalus_major",1
"564","Quiscalus_mexicanus",1
"565","Quiscalus_quiscula",1
"566","Rallus_crepitans",1
"567","Rallus_elegans",0
"568","Rallus_limicola",1
"569","Rallus_obsoletus",1
"570","Recurvirostra_americana",0
"571","Regulus_calendula",1
"572","Regulus_satrapa",1
"573","Rhodostethia_rosea",0
"574","Rhynchophanes_mccownii",0
"575","Riparia_riparia",0
"576","Rissa_tridactyla",0
"577","Rostrhamus_sociabilis",0
"578","Rynchops_niger",1
"579","Salpinctes_obsoletus",0
"580","Sayornis_nigricans",1
"581","Sayornis_phoebe",1
"582","Sayornis_saya",0
"583","Scolopax_minor",1
"584","Seiurus_aurocapilla",1
"585","Selasphorus_calliope",0
"586","Selasphorus_platycercus",0
"587","Selasphorus_rufus",1
"588","Selasphorus_sasin",0
"589","Setophaga_americana",1
"590","Setophaga_auduboni",0
"591","Setophaga_caerulescens",0
"592","Setophaga_castanea",0
"593","Setophaga_cerulea",0
"594","Setophaga_chrysoparia",0
"595","Setophaga_citrina",1
"596","Setophaga_coronata",1
"597","Setophaga_discolor",0
"598","Setophaga_dominica",0
"599","Setophaga_fusca",1
"600","Setophaga_graciae",0
"601","Setophaga_kirtlandii",0
"602","Setophaga_magnolia",1
"603","Setophaga_nigrescens",0
"604","Setophaga_occidentalis",0
"605","Setophaga_palmarum",1
"606","Setophaga_pensylvanica",1
"607","Setophaga_petechia",1
"608","Setophaga_pinus",1
"609","Setophaga_pitiayumi",0
"610","Setophaga_ruticilla",1
"611","Setophaga_striata",1
"612","Setophaga_tigrina",0
"613","Setophaga_townsendi",0
"614","Setophaga_virens",1
"615","Sialia_currucoides",0
"616","Sialia_mexicana",1
"617","Sialia_sialis",1
"618","Sitta_canadensis",1
"619","Sitta_carolinensis",1
"620","Sitta_pusilla",1
"621","Sitta_pygmaea",0
"622","Somateria_fischeri",0
"623","Somateria_mollissima",1
"624","Somateria_spectabilis",0
"625","Spatula_clypeata",0
"626","Spatula_cyanoptera",0
"627","Spatula_discors",0
"628","Sphyrapicus_nuchalis",0
"629","Sphyrapicus_ruber",1
"630","Sphyrapicus_thyroideus",0
"631","Sphyrapicus_varius",1
"632","Spindalis_zena",0
"633","Spinus_lawrencei",0
"634","Spinus_pinus",1
"635","Spinus_psaltria",0
"636","Spinus_tristis",1
"637","Spiza_americana",1
"638","Spizella_atrogularis",0
"639","Spizella_breweri",0
"640","Spizella_pallida",0
"641","Spizella_passerina",1
"642","Spizella_pusilla",1
"643","Sporophila_morelleti",0
"644","Steganopus_tricolor",0
"645","Stelgidopteryx_serripennis",0
"646","Stercorarius_longicaudus",0
"647","Stercorarius_parasiticus",0
"648","Stercorarius_pomarinus",0
"649","Sterna_dougallii",1
"650","Sterna_forsteri",0
"651","Sterna_hirundo",1
"652","Sterna_paradisaea",0
"653","Sternula_antillarum",1
"654","Strix_nebulosa",0
"655","Strix_occidentalis",0
"656","Strix_varia",1
"657","Sturnella_magna",1
"658","Sturnella_neglecta",1
"659","Sula_dactylatra",0
"660","Sula_leucogaster",0
"661","Sula_sula",0
"662","Surnia_ulula",0
"663","Synthliboramphus_antiquus",0
"664","Synthliboramphus_craveri",0
"665","Synthliboramphus_hypoleucus",0
"666","Synthliboramphus_scrippsi",0
"667","Tachybaptus_dominicus",0
"668","Tachycineta_bicolor",1
"669","Tachycineta_cyaneoviridis",0
"670","Tachycineta_thalassina",0
"671","Thalassarche_carteri",0
"672","Thalasseus_elegans",0
"673","Thalasseus_maximus",0
"674","Thalasseus_sandvicensis",0
"675","Thryomanes_bewickii",1
"676","Thryothorus_ludovicianus",1
"677","Toxostoma_bendirei",0
"678","Toxostoma_crissale",0
"679","Toxostoma_curvirostre",0
"680","Toxostoma_lecontei",1
"681","Toxostoma_longirostre",0
"682","Toxostoma_redivivum",1
"683","Toxostoma_rufum",1
"684","Tringa_brevipes",0
"685","Tringa_flavipes",0
"686","Tringa_glareola",0
"687","Tringa_incana",0
"688","Tringa_melanoleuca",0
"689","Tringa_semipalmata",0
"690","Tringa_solitaria",0
"691","Troglodytes_aedon",1
"692","Troglodytes_hiemalis",0
"693","Troglodytes_pacificus",0
"694","Trogon_ambiguus",0
"695","Turdus_grayi",0
"696","Turdus_migratorius",1
"697","Tympanuchus_cupido",1
"698","Tympanuchus_pallidicinctus",0
"699","Tympanuchus_phasianellus",0
"700","Tyrannus_couchii",0
"701","Tyrannus_crassirostris",0
"702","Tyrannus_dominicensis",1
"703","Tyrannus_forficatus",0
"704","Tyrannus_melancholicus",0
"705","Tyrannus_tyrannus",1
"706","Tyrannus_verticalis",1
"707","Tyrannus_vociferans",0
"708","Tyto_alba",1
"709","Uria_aalge",0
"710","Uria_lomvia",0
"711","Urile_pelagicus",0
"712","Urile_penicillatus",0
"713","Urile_urile",0
"714","Vermivora_chrysoptera",0
"715","Vermivora_cyanoptera",0
"716","Vireo_altiloquus",0
"717","Vireo_atricapilla",0
"718","Vireo_bellii",1
"719","Vireo_cassinii",0
"720","Vireo_flavifrons",1
"721","Vireo_gilvus",1
"722","Vireo_griseus",0
"723","Vireo_huttoni",1
"724","Vireo_olivaceus",1
"725","Vireo_philadelphicus",0
"726","Vireo_plumbeus",0
"727","Vireo_solitarius",0
"728","Vireo_vicinior",0
"729","Xanthocephalus_xanthocephalus",0
"730","Xema_sabini",0
"731","Xenus_cinereus",0
"732","Zenaida_asiatica",1
"733","Zenaida_aurita",0
"734","Zenaida_macroura",1
"735","Zonotrichia_albicollis",1
"736","Zonotrichia_atricapilla",1
"737","Zonotrichia_leucophrys",1
"738","Zonotrichia_querula",0
